x,y,z (elevasi),gFA
786242.0095,9669154.34,691,50.9
788099.6785,9669149.968,855,54.1
738047.1783,9667410.68,813,114.4
739893.1176,9667407.045,1023,114.3
741750.1974,9667403.36,981,118.7
743607.2977,9667399.646,863,126.8
745453.2982,9667395.926,923,137.3
747310.4401,9667392.155,1051,147.3
749167.603,9667388.355,1123,154.4
751013.6662,9667384.551,1193,156.3
752870.8716,9667380.695,1133,152.3
754728.0985,9667376.81,1149,143
756574.2258,9667372.92,1107,130.7
758431.4961,9667368.979,1071,119.2
760288.7884,9667365.009,1133,111.8
762134.9812,9667361.035,1291,112
763992.3178,9667357.008,1403,121.1
765849.677,9667352.953,1407,138.1
767695.9367,9667348.894,1439,160.2
769553.3411,9667344.782,1527,182.1
771410.7685,9667340.641,1555,199.1
773257.0965,9667336.497,2075,205.9
775114.5701,9667332.3,2177,199.9
776972.0672,9667328.074,2049,181
778818.4649,9667323.845,1681,151.5
780676.0092,9667319.563,1253,117.3
782533.5774,9667315.251,1069,83.5
784380.0462,9667310.938,741,57.3
786237.6625,9667306.57,569,42.3
788095.3032,9667302.173,835,40.9
738043.5664,9665574.547,1015,118.7
739889.4776,9665570.891,977,118.8
741746.5291,9665567.185,885,122.4
743603.6012,9665563.451,865,128.9
745449.5737,9665559.711,991,137.1
747306.6873,9665555.919,1057,144.9
749163.822,9665552.099,1095,150.4
751009.8571,9665548.273,1181,151.7
752867.0343,9665544.396,1075,148.3
754724.2329,9665540.49,1017,141
756570.3321,9665536.579,1045,131.8
758427.5742,9665532.616,1097,124.2
760284.8383,9665528.624,1215,121.1
762131.003,9665524.628,1397,125.6
763988.3114,9665520.579,1555,138.6
765845.6423,9665516.502,1685,158.8
767691.8738,9665512.42,1637,183.4
769549.25,9665508.285,1883,206.7
771406.6492,9665504.122,2005,224.3
773252.9491,9665499.955,2177,230.5
775110.3945,9665495.735,2189,223
776967.8633,9665491.486,1973,201.6
778814.2329,9665487.234,1705,168.6
780671.7489,9665482.927,1329,130
782529.2888,9665478.593,1005,91.4
784375.7295,9665474.255,795,60.1
786233.3176,9665469.863,581,40.4
788090.93,9665465.442,819,35.1
738039.9127,9663727.351,889,121.1
739885.7955,9663723.676,805,121.3
741742.8185,9663719.95,869,124
743599.862,9663716.195,949,128.8
745445.8061,9663712.433,1123,135
747302.8911,9663708.621,1153,140.9
749159.9972,9663704.78,1261,145.4
751006.004,9663700.933,1233,146.8
752863.1525,9663697.034,1115,144.9
754720.3226,9663693.107,1037,140.5
756566.3934,9663689.175,1113,135.1
758423.6069,9663685.19,1177,131.9
760280.8424,9663681.176,1243,133.3
762126.9787,9663677.158,1383,141.7
763984.2585,9663673.087,1715,157.8
765841.5608,9663668.987,1963,180.1
767687.764,9663664.883,2089,205.8
769545.1116,9663660.725,2321,229.5
771402.4822,9663656.539,2373,246.7
773248.7536,9663652.35,2347,252.1
775106.1704,9663648.106,2323,243.4
776963.6107,9663643.833,1871,220.4
778809.9519,9663639.558,1429,185.5
780667.4393,9663635.228,1209,144.7
782524.9506,9663630.869,1011,103.2
784371.3629,9663626.508,831,68.8
786228.9223,9663622.092,681,45.7
788086.5061,9663617.647,597,37.3
738036.2609,9661891.216,835,120.5
739882.1153,9661887.521,867,120.7
741739.1097,9661883.774,813,122.3
743596.1247,9661879.999,723,125.4
745442.0405,9661876.218,777,129.8
747299.097,9661872.384,847,134.3
749156.1745,9661868.522,1055,138.2
751002.1529,9661864.655,1213,140.3
752859.2729,9661860.735,1151,140.6
754716.4144,9661856.786,1061,139.4
756562.4568,9661852.832,1119,138.2
758419.6418,9661848.826,1127,139.3
760276.8487,9661844.79,1295,144.8
762122.9566,9661840.75,1543,156.4
763980.2078,9661836.657,1683,174.6
765837.4816,9661832.534,1909,197.9
767683.6564,9661828.408,2153,223.6
769540.9754,9661824.228,2391,246.6
771398.3174,9661820.019,2459,262.9
773244.5605,9661815.807,2391,267.7
775101.9487,9661811.54,2411,258.6
776959.3603,9661807.244,1945,235.6
778805.6731,9661802.946,1865,200.8
780663.1319,9661798.592,1569,159.8
782520.6147,9661794.21,1279,117.9
784366.9986,9661789.825,1099,82.3
786224.5294,9661785.384,831,57.4
788082.0846,9661780.915,505,46.5
738032.5892,9660055.081,949,116.7
739878.4151,9660051.366,771,116.4
741735.3809,9660047.599,565,116.8
743592.3672,9660043.803,627,118.4
745438.2543,9660040.001,809,121.1
747295.2821,9660036.147,931,124.6
749152.331,9660032.264,1061,128.4
750998.2808,9660028.376,1079,131.7
752855.3721,9660024.435,1079,134.4
754712.4849,9660020.464,1041,136.7
756558.4988,9660016.489,1077,139.6
758415.655,9660012.461,1093,144.7
760272.8332,9660008.404,1359,153.6
762118.9126,9660004.342,1733,167.4
763976.1351,9660000.226,1991,186.6
765833.3802,9659996.082,2171,209.6
767679.5264,9659991.933,2377,234.2
769536.8167,9659987.731,2357,256
771394.1299,9659983.499,2273,271.2
773240.3445,9659979.263,2147,275.6
775097.704,9659974.974,2183,267.2
776955.0869,9659970.655,2283,245.8
778801.3711,9659966.333,2115,213.3
780658.8012,9659961.956,1853,174.6
782516.2552,9659957.549,1665,134.5
784362.6105,9659953.141,1275,99.7
786220.1126,9659948.676,949,74.3
788077.6391,9659944.183,775,61.7
738028.8754,9658207.884,751,110.4
739874.6725,9658204.149,513,109.5
741731.6092,9658200.362,563,108.8
743588.5664,9658196.545,599,109
745434.4247,9658192.723,719,110.4
747291.4235,9658188.848,685,113.2
749148.4433,9658184.944,669,117.2
750994.3643,9658181.034,783,121.8
752851.4265,9658177.072,1065,126.9
754708.5103,9658173.08,1013,132.3
756554.4953,9658169.083,1021,138.8
758411.6225,9658165.033,1061,147
760268.7717,9658160.954,1297,158.2
762114.8221,9658156.87,1717,173.2
763972.0156,9658152.732,2057,192.2
765829.2316,9658148.565,2057,214
767675.349,9658144.394,2295,236.6
769532.6102,9658140.169,2385,256.6
771389.8944,9658135.914,2117,270.7
773236.0801,9658131.656,1957,275.4
775093.4105,9658127.343,1815,268.7
776950.7643,9658123.001,1979,250.5
778797.0197,9658118.655,2097,222
780654.4207,9658114.255,2129,187.5
782511.8456,9658109.825,1881,151
784358.1721,9658105.392,1491,118.6
786215.6451,9658100.904,1333,93.7
788073.1425,9658096.386,1111,79.8
