x,y,z,freeair
107.825,-6.9412,799,125.3
107.8417,-6.9412,899,129.4
107.8583,-6.9412,1167,134.3
107.875,-6.9412,1423,140
107.825,-6.9577,709,123.3
107.8417,-6.9577,795,130.3
107.8583,-6.9577,949,138
107.875,-6.9577,1065,145.8
107.825,-6.9743,685,121.6
107.8417,-6.9743,739,130.5
107.8583,-6.9743,883,139.6
107.875,-6.9743,1147,148
