x,y,z,fa
119.6917,-3.2398,469,23.4
119.7083,-3.2398,637,39.1
119.725,-3.2398,309,61.5
119.6917,-3.2565,497,25.5
119.7083,-3.2565,665,40.5
119.725,-3.2565,349,62.5
119.6917,-3.2731,319,33.9
119.7083,-3.2731,509,47
119.725,-3.2731,433,67.1
